iter	MultiClass
0	0.6725509878
1	0.6547467224
2	0.6406760887
3	0.6255405441
4	0.6122112942
5	0.5992820961
6	0.5879772462
7	0.5775600484
8	0.5681739281
9	0.559698618
10	0.5515903517
11	0.5436169898
12	0.5360370891
13	0.5287435107
14	0.5216838792
15	0.5156143808
16	0.5093803055
17	0.5037020485
18	0.4981918045
19	0.4934220852
20	0.4878192878
21	0.4830002714
22	0.4774919104
23	0.4735481793
24	0.4690626273
25	0.4651089216
26	0.4612697187
27	0.4574237518
28	0.4539000125
29	0.4513056052
30	0.4477804314
31	0.4445873725
32	0.4414235099
33	0.4383031412
34	0.435367994
35	0.4327302293
36	0.4307877361
37	0.4277714335
38	0.4249020025
39	0.422231275
40	0.4196170914
41	0.4175991974
42	0.4152896789
43	0.4132255939
44	0.4110358351
45	0.4087134148
46	0.4065913091
47	0.4044622702
48	0.4029834977
49	0.4012855995
50	0.3992460105
51	0.3977243079
52	0.3959740105
53	0.3938449489
54	0.3919569449
55	0.3901458623
56	0.3885563096
57	0.3869138905
58	0.3857103012
59	0.3840037091
60	0.3821578932
61	0.3808305804
62	0.3794028839
63	0.3777781923
64	0.3760985108
65	0.3748876725
66	0.3734772012
67	0.372188968
68	0.3707525189
69	0.3697217558
70	0.3684084698
71	0.3672495927
72	0.3662477911
73	0.3651947053
74	0.3640268314
75	0.3629053069
76	0.361878318
77	0.3604607946
78	0.3594767077
79	0.3583480076
80	0.3573582764
81	0.3565376257
82	0.3556257924
83	0.3546145519
84	0.3535766298
85	0.3528039656
86	0.3520174885
87	0.3511974383
88	0.3503616252
89	0.3497631201
90	0.3489924096
91	0.347974987
92	0.3469983263
93	0.3463472027
94	0.3454192749
95	0.3446267067
96	0.3439258042
97	0.3430893723
98	0.3420075462
99	0.3410635929
100	0.3401481192
101	0.3393618105
102	0.3387080951
103	0.3380940713
104	0.3372597528
105	0.3364134393
106	0.3353066757
107	0.3344272479
108	0.3336110816
109	0.3327436013
110	0.3318448917
111	0.3309307797
112	0.3302770017
113	0.3296911205
114	0.3288997606
115	0.3280981345
116	0.3273346719
117	0.3268646121
118	0.3262064582
119	0.325534351
120	0.3248272486
121	0.3240998495
122	0.3234822278
123	0.3227858937
124	0.3219763617
125	0.3213355506
126	0.3207697707
127	0.3202276226
128	0.3197725741
129	0.3191397147
130	0.3187951959
131	0.3181858973
132	0.3176168355
133	0.3170721685
134	0.3164313886
135	0.3156872752
136	0.3151016658
137	0.3144602853
138	0.3138955375
139	0.3134322186
140	0.3128017011
141	0.3122803823
142	0.3119003338
143	0.3114147002
144	0.3109262017
145	0.3103214301
146	0.3096042282
147	0.3090863325
148	0.3085220281
149	0.3080799218
150	0.3074619383
151	0.3069951012
152	0.3065004624
153	0.3060598593
154	0.3054557496
155	0.3049937984
156	0.3044324351
157	0.3040162518
158	0.3035422766
159	0.3032713816
160	0.3027645925
161	0.3023646769
162	0.3019317845
163	0.3015100197
164	0.3009654594
165	0.3006409562
166	0.3001707904
167	0.299414584
168	0.2988800833
169	0.2982952259
170	0.2978915962
171	0.2974059329
172	0.2969537471
173	0.2964337066
174	0.2960835667
175	0.2956154979
176	0.2950772706
177	0.294706305
178	0.2942621028
179	0.2939388025
180	0.2933164874
181	0.2929999806
182	0.292611588
183	0.292264696
184	0.2919754629
185	0.2916090192
186	0.2911227488
187	0.2907593442
188	0.2903939061
189	0.2898443576
190	0.2894916234
191	0.2891676165
192	0.2887412502
193	0.2884333514
194	0.2880491379
195	0.2877272884
196	0.2874259789
197	0.2870912659
198	0.2868872132
199	0.2866597211
200	0.2862359789
201	0.2858788763
202	0.2855555558
203	0.2850294195
204	0.2845816776
205	0.284190958
206	0.2837127104
207	0.2834379729
208	0.2831169522
209	0.2828111345
210	0.2825128967
211	0.2822674304
212	0.2818694777
213	0.2814768052
214	0.2809843811
215	0.2806297932
216	0.2803309417
217	0.2799432176
218	0.2795919598
219	0.2792071766
220	0.2789003426
221	0.2785102674
222	0.2782912404
223	0.2780155142
224	0.2776655139
225	0.2773150036
226	0.2769661055
227	0.276667038
228	0.2763410871
229	0.2759436854
230	0.2755759109
231	0.2753131377
232	0.2749737019
233	0.2746575271
234	0.2744374021
235	0.2741494851
236	0.2737770749
237	0.2735411489
238	0.2731571324
239	0.2729350287
240	0.2725213779
241	0.2721895976
242	0.2719688002
243	0.2717301291
244	0.2714851046
245	0.2712522735
246	0.2710602542
247	0.2707233225
248	0.2704500476
249	0.2701703383
250	0.2698217295
251	0.2694639561
252	0.2691835924
253	0.2688679887
