iter	Passed	Remaining
0	5	5383
1	10	5220
2	15	4988
3	19	4916
4	24	4812
5	28	4766
6	33	4743
7	38	4756
8	43	4735
9	47	4711
10	52	4679
11	56	4637
12	60	4607
13	65	4597
14	70	4618
15	74	4609
16	79	4608
17	84	4607
18	89	4632
19	94	4617
20	98	4607
21	103	4602
22	108	4606
23	113	4610
24	117	4600
25	122	4600
26	127	4597
27	132	4610
28	137	4610
29	142	4603
30	147	4607
31	152	4609
32	157	4605
33	161	4599
34	166	4592
35	171	4586
36	175	4578
37	180	4565
38	184	4553
39	189	4547
40	194	4542
41	198	4533
42	203	4524
43	207	4515
44	212	4508
45	216	4497
46	221	4491
47	226	4483
48	230	4481
49	235	4476
50	240	4477
51	245	4468
52	249	4464
53	254	4460
54	259	4452
55	263	4449
56	268	4443
57	273	4439
58	278	4434
59	282	4428
60	287	4421
61	291	4415
62	296	4411
63	301	4408
64	306	4404
65	310	4399
66	315	4393
67	320	4389
68	324	4384
69	329	4376
70	334	4372
71	338	4366
72	343	4358
73	347	4349
74	352	4342
75	356	4338
76	361	4330
77	365	4325
78	370	4322
79	375	4316
80	379	4309
81	384	4304
82	389	4298
83	393	4294
84	398	4287
85	402	4279
86	407	4271
87	411	4264
88	416	4260
89	420	4255
90	425	4247
91	429	4241
92	434	4233
93	438	4227
94	443	4220
95	447	4216
96	452	4209
97	456	4204
98	461	4199
99	466	4194
100	470	4188
101	475	4186
102	480	4185
103	485	4180
104	490	4178
105	495	4181
106	500	4178
107	505	4173
108	510	4172
109	514	4166
110	519	4163
111	524	4162
112	529	4158
113	534	4154
114	539	4148
115	543	4142
116	548	4138
117	552	4132
118	557	4128
119	562	4124
120	567	4120
121	571	4114
122	576	4108
123	580	4102
124	585	4097
125	589	4091
126	594	4084
127	598	4079
128	603	4076
129	608	4071
130	612	4064
131	617	4059
132	622	4055
133	626	4050
134	631	4045
135	636	4040
136	640	4035
137	645	4029
138	649	4022
139	654	4017
140	658	4011
141	662	4005
142	667	4000
143	672	3995
144	676	3990
145	681	3985
146	685	3979
147	690	3976
148	694	3969
149	699	3963
150	703	3957
151	708	3953
152	713	3948
153	717	3942
154	722	3936
155	726	3931
156	731	3926
157	735	3921
158	740	3916
159	745	3911
160	749	3906
161	754	3900
162	758	3894
163	763	3893
164	768	3889
165	773	3884
166	777	3879
167	782	3872
168	786	3868
169	791	3863
170	795	3858
171	800	3854
172	805	3850
173	810	3845
174	815	3843
175	820	3842
176	826	3841
177	831	3838
178	836	3837
179	841	3835
180	847	3834
181	852	3832
182	858	3832
183	863	3829
184	867	3823
185	872	3819
186	877	3813
187	881	3809
188	886	3803
189	890	3797
190	895	3792
191	899	3787
192	904	3782
193	909	3777
194	913	3771
195	918	3766
196	922	3761
197	927	3756
198	931	3751
199	936	3746
200	940	3740
201	945	3734
202	949	3728
203	954	3724
204	958	3718
205	963	3713
206	967	3708
207	973	3705
208	977	3701
209	982	3695
210	987	3691
211	992	3688
212	997	3686
213	1002	3682
214	1007	3679
215	1013	3676
216	1018	3675
217	1023	3669
218	1027	3664
219	1032	3659
220	1037	3655
221	1041	3650
222	1046	3645
223	1050	3639
224	1055	3635
225	1059	3629
226	1064	3623
227	1068	3619
228	1073	3615
229	1078	3611
230	1083	3607
231	1088	3602
232	1093	3598
233	1097	3593
234	1102	3588
235	1107	3584
236	1111	3579
237	1116	3574
238	1120	3569
239	1125	3564
240	1130	3558
241	1134	3553
242	1139	3548
243	1143	3543
244	1148	3539
245	1153	3534
246	1157	3529
247	1162	3524
248	1166	3518
249	1171	3513
250	1175	3507
251	1180	3502
252	1184	3496
253	1188	3491
254	1193	3487
255	1198	3484
256	1204	3480
257	1209	3479
258	1215	3477
259	1220	3472
260	1224	3467
261	1229	3463
262	1234	3460
263	1240	3457
264	1245	3454
265	1250	3449
266	1255	3445
267	1259	3440
268	1263	3434
269	1268	3428
270	1272	3424
271	1277	3419
272	1282	3414
273	1287	3411
274	1292	3408
275	1298	3406
276	1303	3403
277	1308	3398
278	1313	3394
279	1317	3388
280	1322	3383
281	1326	3378
282	1331	3373
283	1335	3367
284	1340	3362
285	1345	3357
286	1349	3353
287	1354	3348
288	1359	3343
289	1363	3338
290	1368	3333
291	1372	3328
292	1377	3323
293	1381	3318
294	1386	3314
295	1391	3309
296	1396	3304
297	1400	3299
298	1405	3294
299	1409	3288
300	1414	3284
301	1418	3279
302	1423	3274
303	1428	3269
304	1432	3264
305	1437	3259
306	1441	3254
307	1446	3249
308	1450	3244
309	1455	3239
310	1460	3235
311	1464	3230
312	1469	3225
313	1474	3220
314	1478	3215
315	1482	3209
316	1487	3204
317	1491	3199
318	1496	3194
319	1501	3189
320	1505	3184
321	1509	3179
322	1514	3174
323	1518	3169
324	1523	3164
325	1528	3159
326	1533	3155
327	1537	3150
328	1542	3146
329	1547	3141
330	1551	3136
331	1556	3131
332	1560	3126
333	1565	3121
334	1570	3116
335	1574	3112
336	1579	3107
337	1584	3102
338	1588	3097
339	1592	3091
340	1597	3086
341	1601	3081
342	1606	3076
343	1610	3071
344	1615	3067
345	1620	3062
346	1625	3058
347	1630	3055
348	1636	3051
349	1641	3048
350	1646	3044
351	1652	3042
352	1657	3038
353	1662	3034
354	1667	3029
355	1672	3025
356	1677	3021
357	1682	3017
358	1687	3013
359	1692	3009
360	1697	3005
361	1703	3001
362	1708	2997
363	1713	2994
364	1718	2990
365	1723	2985
366	1728	2980
367	1733	2976
368	1738	2972
369	1743	2968
370	1747	2963
371	1752	2959
372	1757	2954
373	1762	2950
374	1767	2945
375	1772	2941
376	1777	2937
377	1782	2932
378	1786	2927
379	1791	2922
380	1796	2918
381	1801	2914
382	1806	2910
383	1812	2907
384	1817	2902
385	1822	2898
386	1827	2894
387	1832	2889
388	1837	2885
389	1841	2880
390	1846	2875
391	1851	2871
392	1855	2866
393	1860	2862
394	1865	2857
395	1870	2852
396	1875	2848
397	1880	2843
398	1884	2838
399	1889	2834
400	1894	2829
401	1898	2824
402	1903	2819
403	1907	2814
404	1912	2809
405	1916	2803
406	1920	2798
407	1925	2793
408	1930	2789
409	1934	2783
410	1938	2778
411	1943	2773
412	1947	2768
413	1952	2763
414	1956	2758
415	1961	2753
416	1966	2748
417	1970	2743
418	1975	2738
419	1979	2733
420	1984	2728
421	1989	2724
422	1993	2719
423	1997	2714
424	2002	2709
425	2006	2704
426	2011	2699
427	2015	2694
428	2020	2689
429	2024	2684
430	2029	2679
431	2033	2674
432	2038	2669
433	2043	2664
434	2047	2659
435	2051	2654
436	2056	2649
437	2060	2644
438	2065	2639
439	2070	2635
440	2075	2630
441	2080	2626
442	2085	2621
443	2089	2617
444	2094	2612
445	2098	2607
446	2103	2602
447	2108	2597
448	2112	2592
449	2117	2587
450	2122	2583
451	2126	2578
452	2131	2573
453	2136	2569
454	2140	2564
455	2145	2559
456	2149	2554
457	2154	2549
458	2158	2544
459	2163	2539
460	2167	2534
461	2172	2529
462	2176	2524
463	2180	2519
464	2185	2514
465	2190	2510
466	2194	2505
467	2199	2500
468	2203	2495
469	2208	2490
470	2212	2485
471	2217	2480
472	2222	2475
473	2226	2471
474	2231	2466
475	2235	2461
476	2240	2456
477	2244	2451
478	2249	2446
479	2253	2441
480	2258	2436
481	2262	2431
482	2267	2427
483	2271	2422
484	2276	2417
485	2281	2412
486	2285	2407
487	2292	2405
488	2297	2400
489	2301	2395
490	2306	2390
491	2310	2385
492	2314	2380
493	2319	2375
494	2324	2370
495	2328	2366
496	2333	2361
497	2337	2356
498	2342	2351
499	2346	2346
500	2351	2341
501	2355	2337
502	2360	2332
503	2364	2327
504	2369	2322
505	2373	2317
506	2378	2312
507	2383	2308
508	2387	2303
509	2392	2298
510	2396	2293
511	2401	2288
512	2406	2284
513	2410	2279
514	2415	2274
515	2419	2269
516	2424	2264
517	2429	2260
518	2433	2255
519	2438	2250
520	2442	2245
521	2447	2240
522	2451	2236
523	2456	2231
524	2461	2226
525	2465	2222
526	2470	2217
527	2474	2212
528	2479	2207
529	2483	2202
530	2488	2197
531	2492	2193
532	2497	2188
533	2501	2183
534	2506	2178
535	2510	2173
536	2515	2168
537	2520	2164
538	2525	2159
539	2529	2154
540	2534	2150
541	2538	2145
542	2543	2140
543	2547	2135
544	2552	2130
545	2556	2125
546	2562	2121
547	2567	2117
548	2572	2113
549	2577	2109
550	2582	2104
551	2587	2099
552	2591	2094
553	2596	2090
554	2600	2085
555	2605	2080
556	2609	2075
557	2614	2070
558	2619	2066
559	2623	2061
560	2628	2056
561	2632	2051
562	2636	2046
563	2641	2041
564	2646	2037
565	2650	2032
566	2655	2027
567	2659	2022
568	2664	2018
569	2668	2013
570	2673	2008
571	2678	2003
572	2682	1999
573	2687	1994
574	2691	1989
575	2696	1984
576	2701	1980
577	2705	1975
578	2710	1970
579	2714	1965
580	2718	1960
581	2723	1955
582	2727	1950
583	2732	1946
584	2736	1941
585	2741	1936
586	2746	1932
587	2750	1927
588	2755	1922
589	2760	1918
590	2765	1913
591	2769	1908
592	2773	1903
593	2778	1898
594	2782	1894
595	2787	1889
596	2792	1884
597	2796	1880
598	2801	1875
599	2805	1870
600	2810	1865
601	2815	1861
602	2819	1856
603	2824	1851
604	2828	1846
605	2833	1842
606	2838	1837
607	2842	1832
608	2847	1828
609	2851	1823
610	2856	1818
611	2860	1813
612	2865	1808
613	2869	1804
614	2874	1799
615	2878	1794
616	2883	1789
617	2888	1785
618	2892	1780
619	2897	1775
620	2902	1771
621	2907	1766
622	2911	1762
623	2916	1757
624	2921	1752
625	2925	1747
626	2930	1743
627	2934	1738
628	2939	1733
629	2943	1728
630	2948	1724
631	2953	1719
632	2957	1714
633	2962	1710
634	2967	1705
635	2971	1700
636	2976	1696
637	2981	1691
638	2985	1686
639	2990	1681
640	2994	1677
641	2999	1672
642	3003	1667
643	3008	1662
644	3012	1658
645	3017	1653
646	3021	1648
647	3026	1643
648	3030	1639
649	3035	1634
650	3039	1629
651	3044	1624
652	3048	1620
653	3053	1615
654	3057	1610
655	3062	1605
656	3066	1601
657	3071	1596
658	3075	1591
659	3080	1586
660	3084	1582
661	3089	1577
662	3094	1572
663	3098	1567
664	3103	1563
665	3107	1558
666	3112	1553
667	3116	1549
668	3121	1544
669	3125	1539
670	3130	1534
671	3134	1530
672	3139	1525
673	3144	1520
674	3148	1516
675	3153	1511
676	3157	1506
677	3162	1501
678	3166	1497
679	3172	1492
680	3176	1488
681	3181	1483
682	3185	1478
683	3190	1473
684	3194	1469
685	3199	1464
686	3203	1459
687	3208	1454
688	3212	1450
689	3217	1445
690	3221	1440
691	3226	1436
692	3231	1431
693	3235	1426
694	3240	1421
695	3244	1417
696	3249	1412
697	3253	1407
698	3258	1402
699	3262	1398
700	3267	1393
701	3271	1388
702	3276	1384
703	3280	1379
704	3285	1374
705	3290	1370
706	3294	1365
707	3299	1360
708	3304	1356
709	3308	1351
710	3313	1346
711	3317	1341
712	3322	1337
713	3327	1332
714	3331	1328
715	3336	1323
716	3340	1318
717	3345	1313
718	3349	1309
719	3354	1304
720	3359	1299
721	3363	1295
722	3368	1290
723	3372	1285
724	3377	1280
725	3381	1276
726	3385	1271
727	3390	1266
728	3394	1261
729	3399	1257
730	3403	1252
731	3408	1247
732	3412	1243
733	3417	1238
734	3421	1233
735	3426	1229
736	3431	1224
737	3436	1219
738	3440	1215
739	3445	1210
740	3449	1205
741	3454	1201
742	3459	1196
743	3463	1191
744	3468	1187
745	3473	1182
746	3477	1177
747	3482	1173
748	3487	1168
749	3491	1163
750	3496	1159
751	3500	1154
752	3505	1149
753	3509	1145
754	3514	1140
755	3518	1135
756	3523	1130
757	3527	1126
758	3532	1121
759	3536	1116
760	3541	1112
761	3545	1107
762	3550	1102
